Restaurant Names,Rating,Rating Count,Coordinates,Addresses
Koziryok,4.0,18 reviews,"40.186569,44.514004",
Tom Collins,4.5,22 reviews,"40.182896,44.512039",
1880 Bar & More,4.5,18 reviews,"40.187946,44.510731",
Vertigo Lounge Bar,No rating,0 reviews,Not available,"Bagramyan Marshal ave 1/3 Opera Suite Hotel, 13 floor, Yerevan 0019 Armenia"
Yans,4.5,49 reviews,"40.190361,44.524113",
The Vineyard Restaurant,No rating,0 reviews,"40.187828,44.522007",
AKO Sushi,4.0,20 reviews,"40.185242,44.516388",
Dos Amigos Cafe Restaurant,1.0,1 review,"40.183331,44.511452",
GREENHOUSE,1.0,1 review,"40.182285,44.514488",
Monte Cristo,4.5,40 reviews,"40.188999,44.500343",
Monroe Cafe & Lounge,4.0,5 reviews,"40.182064,44.517334",
Dragon china restaurant,4.5,19 reviews,"40.187031,44.513966",
Tavern Yerevan,4.5,319 reviews,"40.172958,44.511425",
Sweet Mood,No rating,0 reviews,"40.178501,44.519897",
Bardiner Restaurant,4.0,18 reviews,Not available,"Hrazdan Gorge 71, Yerevan 0050 Armenia"
Sommelier Wine Bar/Gallery,4.0,5 reviews,Not available,"Tumanyan O. str. 34, Yerevan 0001 Armenia"
Laziz Armenia,5.0,1 review,"40.178970,44.509483",
PitStop Burger,4.5,6 reviews,"40.184219,44.510391",
Mr.Shadow,3.0,1 review,Not available,"Gazar Parpyettsi str. 26, Yerevan 0002 Armenia"
M Cafe,3.0,7 reviews,"40.183846,44.506950",
Mangiare Restaurant Cafe and Bakery,4.5,7 reviews,"40.174984,44.520130",
Escobar Hookah,5.0,3 reviews,Not available,"Yeznik Koghbatsi St.,51, Yerevan 0002 Armenia"
Alaska by Hans&Franz,4.5,20 reviews,"40.182995,44.508568",
La Familia,4.5,6 reviews,"40.212662,44.522587",
Take Away Kitchen-Shop,5.0,2 reviews,"40.186440,44.513153",
PH Lounge Cafe,4.5,7 reviews,"40.185020,44.514626",
Metelitsa,3.0,1 review,"40.182087,44.509335",
Pharaon Restaurant,4.0,9 reviews,"40.253456,44.592052",
La Petit Paris,No rating,0 reviews,Not available,"Abovyan str. 23, Yerevan 0009 Armenia"
Verona,4.5,18 reviews,"40.186413,44.522789",
Samurai Sushi Bar,3.5,23 reviews,"40.188889,44.513996",
Rehan Cafe & Restaurant,No rating,0 reviews,"40.189552,44.514069",
Red Rock Music Pub,5.0,2 reviews,"40.180588,44.520195",
MacGuffin Art House,3.5,6 reviews,"40.185093,44.510727",
Santa Fe,3.0,60 reviews,"40.188038,44.515255",
Paulaner,4.5,13 reviews,Not available,"Teryan St. 19, Yerevan 0013 Armenia"
Mary Bakery,4.5,2 reviews,"40.179012,44.509857",
Bonapart Cafe & Pastry Shop,5.0,4 reviews,"40.186577,44.511742",
Coffee Charge by Diamond,4.0,1 review,"40.175983,44.517441",
MEZZO,4.5,206 reviews,"40.188557,44.520302",
Armhookah,5.0,16 reviews,"40.183613,44.514084",
Sicilia Restaurant,5.0,6 reviews,"40.204735,44.502728",
Ost Bistro,4.5,60 reviews,"40.181049,44.508194",
Marilda Restaurant & Café,4.5,12 reviews,"40.187202,44.515209",
Karma Indian Restaurant,4.0,147 reviews,"40.185951,44.518250",
Drakht Restaurant,4.0,5 reviews,"40.209286,44.559933",
Dream's Music Cafe,No rating,0 reviews,"40.182228,44.520348",
Urban Beerhouse & Restaurant,4.0,9 reviews,"40.178810,44.504852",
LavAzza Coffee Cup,4.5,2 reviews,Not available,"Zvartnots International Airport, Yerevan 0042 Armenia"
SteakOut Grill House,No rating,0 reviews,"40.189064,44.518398",
Voodoo Hookah Lounge,5.0,52 reviews,"40.178234,44.527554",
JJ Lounge Club,No rating,0 reviews,"40.183899,44.515057",
Big Boq,3.5,5 reviews,Not available,"Vardanantsa str. 7, Yerevan 0010 Armenia"
Black Star Burger,4.0,65 reviews,"40.179855,44.514030",
Dolma Restaurant,5.0,6 reviews,"40.220047,44.491371",
Rush Music Club,4.5,3 reviews,"40.179794,44.506306",
Parvana,3.5,25 reviews,Not available,"Razdanskoye Ushhelye, Yerevan 0082 Armenia"
